Subject,Age1,AgeGroup,Gender,GrammarProd,VocabProd,Item,Trial1,Trial1_ChosenFoil,Trial2,Trial2_ChosenFoil
1,59.37,2,1,1,0.94,fep,1,target,1,target
1,59.37,2,1,1,0.94,gelp,1,target,1,target
1,59.37,2,1,1,0.94,merf,1,target,1,target
1,59.37,2,1,1,0.94,pluff,1,target,1,target
1,59.37,2,1,1,0.94,taf,1,target,1,target
2,58.9,2,2,0.81,0.94,fep,1,target,1,target
2,58.9,2,2,0.81,0.94,gelp,1,target,1,target
2,58.9,2,2,0.81,0.94,merf,1,target,1,target
2,58.9,2,2,0.81,0.94,pluff,1,known-w-property,0,known-wo-property
2,58.9,2,2,0.81,0.94,taf,1,target,1,target
3,64.1,3,2,0.88,0.88,fep,1,target,1,target
3,64.1,3,2,0.88,0.88,gelp,1,target,1,target
3,64.1,3,2,0.88,0.88,merf,1,target,0,known-w-property
3,64.1,3,2,0.88,0.88,pluff,0,known-w-property,1,target
3,64.1,3,2,0.88,0.88,taf,1,target,1,target
4,59.2,3,1,0.75,0.94,fep,0,NA,1,target
4,59.2,3,1,0.75,0.94,gelp,1,target,1,target
4,59.2,3,1,0.75,0.94,merf,1,target,1,target
4,59.2,3,1,0.75,0.94,pluff,1,target,1,target
4,59.2,3,1,0.75,0.94,taf,1,target,1,target
5,65,3,1,0.38,0.38,fep,1,known-w-property,1,target
5,65,3,1,0.38,0.38,gelp,0,NA,0,NA
5,65,3,1,0.38,0.38,merf,1,target,1,target
5,65,3,1,0.38,0.38,pluff,0,NA,1,target
5,65,3,1,0.38,0.38,taf,0,NA,1,target
6,44.97,1,2,0.38,0.38,fep,1,target,1,target
6,44.97,1,2,0.38,0.38,gelp,0,known-w-property,0,known-wo-property
6,44.97,1,2,0.38,0.38,merf,1,target,1,target
6,44.97,1,2,0.38,0.38,pluff,0,known-w-property,1,target
6,44.97,1,2,0.38,0.38,taf,0,known-w-property,1,target
7,43.07,1,2,0.88,0.56,fep,1,target,1,target
7,43.07,1,2,0.88,0.56,gelp,1,target,1,target
